"","StateAbbr","age","votereg","askvote","vote_method","party_ID"
"605","OH",42,1,5,1,1
"606","OH",64,1,5,1,2
"607","OH",48,1,NA,NA,NA
"608","OH",44,1,NA,NA,3
"609","OH",59,1,5,2,3
"610","OH",62,1,5,2,2
"611","OH",57,1,5,2,2
"612","OH",54,1,3,NA,2
"613","OH",60,1,5,1,2
"614","OH",61,1,5,1,2
"615","OH",47,1,5,3,2
"616","OH",57,1,5,2,3
"617","OH",72,1,5,2,1
"618","OH",64,1,5,2,3
"619","OH",47,1,5,1,1
"620","OH",65,1,5,1,1
"621","OH",41,1,NA,NA,2
"622","OH",70,1,5,1,3
"623","OH",60,1,5,1,3
"624","OH",68,1,5,2,2
"625","OH",57,1,5,1,3
"626","OH",79,1,5,3,1
"627","OH",77,2,NA,NA,NA
"628","OH",61,1,5,3,1
"629","OH",54,1,NA,NA,3
"630","OH",71,1,5,1,3
"631","OH",69,1,5,1,2
"632","OH",67,1,5,3,1
"633","OH",66,1,5,1,3
"634","OH",68,1,5,1,3
"635","OH",51,1,5,1,1
"636","OH",33,1,5,3,2
"637","OH",37,1,NA,NA,3
"638","OH",49,1,3,NA,2
"639","OH",65,1,5,2,1
"640","OH",61,1,4,4,3
"641","OH",65,1,5,1,3
"642","OH",56,1,5,1,3
"643","OH",70,1,5,3,2
"644","OH",55,1,5,3,2
"645","OH",69,1,5,1,3
"646","OH",30,1,1,NA,2
"647","OH",66,1,NA,NA,3
"648","OH",47,1,5,1,2
"649","OH",49,1,5,3,1
"650","OH",60,2,NA,NA,NA
"651","OH",61,1,5,1,3
"652","OH",63,1,5,3,2
"653","OH",42,1,NA,NA,2
"654","OH",40,1,5,3,3
"655","OH",60,1,2,NA,2
"656","OH",47,1,NA,NA,3
"657","OH",67,1,5,2,2
"658","OH",59,1,5,2,2
"659","OH",57,1,5,1,2
"660","OH",53,1,5,1,3
"661","OH",49,1,5,3,3
"662","OH",48,1,5,1,2
"663","OH",66,1,NA,NA,3
"664","OH",55,1,5,1,3
"665","OH",39,1,5,1,1
"666","OH",57,1,5,1,3
"667","OH",49,1,5,1,1
"668","OH",53,1,5,1,1
"669","OH",28,1,5,1,2
"670","OH",47,2,5,1,NA
"671","OH",31,1,NA,NA,3
"672","OH",67,1,5,1,1
"673","OH",47,2,5,1,NA
"674","OH",49,1,NA,NA,3
"675","OH",85,1,5,1,3
"676","OH",53,1,5,1,3
"677","OH",59,1,5,1,3
"678","OH",56,2,1,NA,NA
"679","OH",65,1,5,2,2
"680","OH",62,1,NA,NA,2
"681","OH",62,1,5,2,3
"682","OH",46,1,5,1,1
"683","OH",72,1,5,3,3
"684","OH",62,1,5,3,3
"685","OH",47,1,5,2,2
"686","OH",39,1,5,1,2
"687","OH",60,1,5,2,2
"688","OH",57,1,NA,NA,3
"689","OH",62,1,5,2,3
"690","OH",48,1,5,1,3
"691","OH",45,1,5,1,2
"692","OH",78,1,5,1,3
"693","OH",33,1,4,4,3
"694","OH",29,1,5,1,1
"695","OH",66,1,NA,NA,2
"696","OH",70,1,5,2,2
"697","OH",60,1,NA,NA,3
"698","OH",67,1,5,3,2
"699","OH",81,1,5,2,3
"700","OH",56,1,5,3,2
"701","OH",67,1,5,1,3
"702","OH",66,1,1,NA,2
"703","OH",62,1,5,1,3
"704","OH",56,1,5,3,2
"705","OH",59,1,5,2,1
"706","OH",70,1,5,1,3
"707","OH",63,1,5,1,3
"708","OH",61,1,5,2,3
"709","OH",36,1,5,3,2
"710","OH",38,1,5,3,1
"711","OH",45,1,5,1,1
"712","OH",52,1,NA,NA,1
"713","OH",58,1,5,3,2
"714","OH",50,1,5,2,2
"715","OH",70,1,5,3,2
"716","OH",62,1,NA,NA,2
"717","OH",45,1,5,3,1
"718","OH",66,1,5,2,2
"719","OH",69,1,5,3,3
"720","OH",71,1,5,1,1
"721","OH",39,1,5,1,1
"722","OH",79,1,5,1,1
"723","OH",67,1,5,3,3
"724","OH",90,1,5,3,1
"725","OH",75,1,5,1,2
"726","OH",60,1,5,1,3
"727","OH",69,1,NA,NA,2
"728","OH",55,1,5,2,3
"729","OH",52,1,4,4,2
"730","OH",70,1,5,3,3
"731","OH",82,1,5,3,2
"732","OH",80,1,5,1,3
"733","OH",60,1,5,1,3
"734","OH",68,1,5,1,3
"735","OH",79,1,5,3,3
"736","OH",63,1,5,1,1
