"","inputstate","votereg","age","party_ID","askvote","vote_method"
"304",39,1,76,3,5,3
"305",39,1,67,1,5,1
"306",39,1,83,1,5,3
"307",39,1,81,3,3,NA
"308",39,1,74,3,5,3
"309",39,1,70,3,5,3
"310",39,1,64,1,5,3
"311",39,1,28,2,5,1
"312",39,1,34,1,5,3
"313",39,1,27,3,2,NA
"314",39,1,30,1,5,1
"315",39,1,73,1,5,3
"316",39,1,53,3,5,1
"317",39,1,70,2,5,1
"318",39,1,65,1,5,2
"319",39,1,69,3,5,2
"320",39,1,57,1,5,1
"321",39,1,25,1,5,1
"322",39,1,58,1,5,3
"323",39,1,61,1,5,1
"324",39,1,79,1,5,3
"325",39,1,77,1,5,3
"326",39,1,74,1,5,3
"327",39,1,68,1,5,3
"328",39,1,65,3,5,1
"329",39,1,61,2,5,3
"330",39,1,67,2,5,1
"331",39,1,91,2,5,3
"332",39,1,73,1,5,3
"333",39,1,52,2,5,1
"334",39,1,43,1,5,2
"335",39,1,47,1,5,2
"336",39,1,50,1,5,3
"337",39,1,77,2,5,1
"338",39,2,46,1,4,2
"339",39,1,63,2,5,2
"340",39,2,59,NA,NA,NA
"341",39,1,68,3,5,1
"342",39,1,72,1,5,3
"343",39,1,61,3,5,1
"344",39,1,26,1,5,1
"345",39,1,41,1,5,1
"346",39,1,24,3,5,2
"347",39,1,48,1,5,1
"348",39,1,64,1,5,2
"349",39,1,45,1,5,1
"350",39,1,73,1,5,1
"351",39,1,47,NA,NA,NA
"352",39,1,57,1,5,2
"353",39,3,70,4,NA,NA
"354",39,1,55,1,5,1
"355",39,1,57,2,5,1
"356",39,1,65,3,5,1
"357",39,1,65,2,5,3
"358",39,1,61,2,5,3
"359",39,1,76,3,5,1
"360",39,1,27,NA,NA,NA
"361",39,1,40,2,5,1
"362",39,1,73,2,5,3
"363",39,1,78,2,5,3
"364",39,1,57,1,5,2
"365",39,1,60,1,5,3
"366",39,1,61,1,5,3
"367",39,1,53,1,5,2
"368",39,1,82,2,5,1
"369",39,1,70,2,5,1
"370",39,1,60,2,5,1
"371",39,1,66,1,5,1
"372",39,1,57,4,5,2
"373",39,1,38,2,5,1
"374",39,1,63,1,5,3
"375",39,1,72,2,5,1
"376",39,1,70,1,5,3
"377",39,1,58,2,5,1
"378",39,1,44,1,5,3
"379",39,1,84,1,5,1
"380",39,1,76,2,5,NA
"381",39,1,72,3,5,3
"382",39,2,25,3,NA,NA
"383",39,1,48,NA,NA,NA
"384",39,1,51,3,5,3
"385",39,1,36,NA,NA,NA
"386",39,1,27,2,5,1
"387",39,1,49,3,1,NA
"388",39,1,76,2,5,3
"389",39,1,60,3,5,2
"390",39,1,38,3,5,1
"391",39,1,26,1,5,1
"392",39,1,53,1,5,3
"393",39,1,53,2,1,NA
"394",39,2,62,1,NA,NA
"395",39,2,57,2,NA,NA
"396",39,1,79,3,5,2
"397",39,1,51,3,5,1
"398",39,1,76,3,5,1
"399",39,1,57,2,5,3
"400",39,1,62,1,5,1
"401",39,1,60,3,5,3
"402",39,1,62,4,5,1
"403",39,1,54,3,5,1
"404",39,1,47,1,1,NA
"405",39,1,68,1,5,1
"406",39,1,57,1,5,2
